ENTITYCODE,DEATHCODE,NHS INDICATOR
1,1,1
2,1,1
3,1,1
4,1,1
6,1,1
7,1,1
9,1,1
10,99,1
11,1,1
12,3,1
13,1,1
14,1,1
15,1,1
18,1,2
19,22,2
21,30,2
22,30,2
27,33,2
28,33,2
30,33,2
34,33,2
35,33,2
36,33,2
39,33,2
40,33,2
41,56,2
42,33,2
43,33,2
44,14,2
45,33,2
46,14,2
47,33,2
48,33,2
49,20,2
50,33,2
52,61,2
53,33,2
54,33,2
55,33,2
56,33,2
57,33,2
59,33,2
60,33,2
61,33,2
62,33,2
63,33,2
65,33,2
66,33,2
67,14,2
68,33,2
69,33,2
70,33,2
71,33,2
72,33,2
73,33,2
74,33,2
75,22,2
76,32,2
77,20,2
78,20,2
79,32,2
82,20,2
83,32,2
84,33,2
86,52,2
87,52,2
88,52,2
90,52,2
92,52,2
93,52,2
94,52,2
95,52,2
96,52,2
97,52,2
98,64,2
99,44,2
100,32,2
101,32,2
109,51,2
110,51,2
111,51,2
112,51,2
113,51,2
114,51,2
115,37,2
118,37,2
119,37,2
120,37,2
121,44,2
122,74,2
123,44,2
124,77,2
125,77,2
126,48,2
128,67,2
129,70,2
130,70,2
131,8,2
132,71,2
134,83,2
140,24,2
141,32,2
150,8,2
151,8,2
152,33,2
153,33,2
154,33,2
155,33,2
156,33,2
157,33,2
158,33,2
159,33,2
160,33,2
161,33,2
162,40,2
163,33,2
164,33,2
167,33,2
168,33,2
170,32,2
171,33,2
172,14,2
173,33,2
174,33,2
175,32,2
176,32,2
177,32,2
178,32,2
179,8,2
180,51,2
181,51,2
182,51,2
183,51,2
184,51,2
185,51,2
186,51,2
187,51,2
188,51,2
189,51,2
190,51,2
191,42,2
192,7,2
193,52,2
195,1,1
196,1,1
199,99,1
204,20,2
206,7,2
207,33,2
208,3,1
209,5,1
210,33,2
211,33,2
212,33,2
213,33,2
214,33,2
215,32,2
218,33,2
219,20,2
220,33,2
221,33,2
222,33,2
223,33,2
224,33,2
225,33,2
226,33,2
227,33,2
228,32,2
231,52,2
233,75,2
234,51,2
235,51,2
236,51,2
237,51,2
238,51,2
239,51,2
240,75,2
242,71,2
243,1,1
244,5,2
245,1,1
246,3,1
247,22,2
250,32,2
251,5,1
252,20,2
253,99,1
255,32,2
256,32,2
257,58,2
258,33,2
259,8,2
260,33,2
261,33,2
262,33,2
263,33,2
264,33,2
265,33,2
266,33,2
268,28,2
270,33,2
271,32,2
272,51,2
273,51,2
274,51,2
275,51,2
276,51,2
277,51,2
278,51,2
279,48,2
280,61,2
281,48,2
282,77,2
287,1,2
288,1,2
289,1,2
292,22,2
293,1,2
294,1,2
295,1,2
297,20,2
298,20,2
299,3,1
300,20,2
301,20,2
302,23,2
303,7,2
304,33,2
305,32,2
306,33,2
307,33,2
308,33,2
310,32,2
311,32,2
313,32,2
314,7,2
315,32,2
317,32,2
318,32,2
319,32,2
320,32,2
321,32,2
322,32,2
323,32,2
326,32,2
327,32,2
328,32,2
329,32,2
330,32,2
332,1,1
333,5,1
334,1,1
335,99,2
336,20,2
337,22,2
338,20,2
339,20,2
340,20,2
343,5,1
345,22,2
346,32,2
347,32,2
348,32,2
349,32,2
350,24,2
352,32,2
353,32,2
354,32,2
355,32,2
356,32,2
357,32,2
358,32,2
359,32,2
360,32,2
361,32,2
362,32,2
364,32,2
365,32,2
366,32,2
367,32,2
369,32,2
370,52,2
371,52,2
372,64,2
373,64,2
374,51,2
376,51,2
378,48,2
379,48,2
380,48,2
381,3,1
382,20,2
384,33,2
385,70,2
386,1,1
387,99,1
388,5,1
42496,32,2
390,67,2
391,67,2
392,51,2
393,48,2
394,49,2
398,99,1
400,33,2
401,33,2
404,8,2
405,51,2
406,77,2
42497,20,2
407,1,1
408,1,1
409,20,2
410,20,2
411,20,2
413,30,2
414,3,1
415,5,1
416,10,2
417,7,2
418,33,2
421,33,2
424,32,2
425,32,2
426,32,2
427,32,2
428,32,2
429,32,2
430,32,2
431,32,2
432,32,2
433,32,2
434,32,2
435,32,2
436,32,2
437,67,2
439,51,2
441,40,2
442,51,2
