"RGN09CD","Year","Sex","Age_Group","Deprivation_Quintile","Ethnic_Group","population_estimates"
"E12000001",2014,"Females","0-24","1","Asian",7504.76694207169
"E12000001",2014,"Females","0-24","2","Asian",4326.40985979312
"E12000001",2014,"Females","0-24","3","Asian",2244.77953033481
"E12000001",2014,"Females","0-24","4","Asian",2127.46362530729
"E12000001",2014,"Females","0-24","5","Asian",1790.0321673506
"E12000001",2014,"Females","0-24","1","Black",1883.09339508633
"E12000001",2014,"Females","0-24","2","Black",511.310876977149
"E12000001",2014,"Females","0-24","3","Black",226.639408990866
"E12000001",2014,"Females","0-24","4","Black",234.049721030404
"E12000001",2014,"Females","0-24","5","Black",164.151479973392
"E12000001",2014,"Females","0-24","1","Mixed",2937.60726955614
"E12000001",2014,"Females","0-24","2","Mixed",1669.70982079771
"E12000001",2014,"Females","0-24","3","Mixed",965.895521807022
"E12000001",2014,"Females","0-24","4","Mixed",993.462234108858
"E12000001",2014,"Females","0-24","5","Mixed",1058.09293912602
"E12000001",2014,"Females","0-24","1","Other",885.932466044742
"E12000001",2014,"Females","0-24","2","Other",539.858844274729
"E12000001",2014,"Females","0-24","3","Other",250.771720553851
"E12000001",2014,"Females","0-24","4","Other",253.504556351475
"E12000001",2014,"Females","0-24","5","Other",266.605294300177
"E12000001",2014,"Females","0-24","1","White",130983.59992725
"E12000001",2014,"Females","0-24","2","White",79496.7105981561
"E12000001",2014,"Females","0-24","3","White",47840.9138183111
"E12000001",2014,"Females","0-24","4","White",46836.5198631997
"E12000001",2014,"Females","0-24","5","White",44698.1181192466
"E12000001",2014,"Females","25-49","1","Asian",7072.60853296091
"E12000001",2014,"Females","25-49","2","Asian",3780.25424466553
"E12000001",2014,"Females","25-49","3","Asian",1926.87003712688
"E12000001",2014,"Females","25-49","4","Asian",1989.92276290507
"E12000001",2014,"Females","25-49","5","Asian",2275.63190110155
"E12000001",2014,"Females","25-49","1","Black",1817.16125609441
"E12000001",2014,"Females","25-49","2","Black",598.831205891117
"E12000001",2014,"Females","25-49","3","Black",223.080284432639
"E12000001",2014,"Females","25-49","4","Black",219.106221293031
"E12000001",2014,"Females","25-49","5","Black",161.163167182517
"E12000001",2014,"Females","25-49","1","Mixed",1465.06789698682
"E12000001",2014,"Females","25-49","2","Mixed",764.944164954406
"E12000001",2014,"Females","25-49","3","Mixed",411.886460607623
"E12000001",2014,"Females","25-49","4","Mixed",447.816409925136
"E12000001",2014,"Females","25-49","5","Mixed",413.982144833567
"E12000001",2014,"Females","25-49","1","Other",933.038705951197
"E12000001",2014,"Females","25-49","2","Other",488.050740456708
"E12000001",2014,"Females","25-49","3","Other",227.225942614123
"E12000001",2014,"Females","25-49","4","Other",227.011195768714
"E12000001",2014,"Females","25-49","5","Other",304.858226437103
"E12000001",2014,"Females","25-49","1","White",138905.123608028
"E12000001",2014,"Females","25-49","2","White",93170.9196440285
"E12000001",2014,"Females","25-49","3","White",56968.9372752113
"E12000001",2014,"Females","25-49","4","White",53954.1434101023
"E12000001",2014,"Females","25-49","5","White",51883.3645604409
"E12000001",2014,"Females","50-64","1","Asian",1205.36256950385
"E12000001",2014,"Females","50-64","2","Asian",744.470699852786
"E12000001",2014,"Females","50-64","3","Asian",452.835981728498
"E12000001",2014,"Females","50-64","4","Asian",482.056921452021
"E12000001",2014,"Females","50-64","5","Asian",726.263190335388
"E12000001",2014,"Females","50-64","1","Black",221.998804217175
"E12000001",2014,"Females","50-64","2","Black",106.520026351681
"E12000001",2014,"Females","50-64","3","Black",49.2114524962284
"E12000001",2014,"Females","50-64","4","Black",49.3986537057099
"E12000001",2014,"Females","50-64","5","Black",51.223632360757
"E12000001",2014,"Females","50-64","1","Mixed",345.237078100195
"E12000001",2014,"Females","50-64","2","Mixed",193.515984405905
"E12000001",2014,"Females","50-64","3","Mixed",112.218618838514
"E12000001",2014,"Females","50-64","4","Mixed",124.380680028672
"E12000001",2014,"Females","50-64","5","Mixed",131.380929636456
"E12000001",2014,"Females","50-64","1","Other",153.959412671814
"E12000001",2014,"Females","50-64","2","Other",85.4117058005912
"E12000001",2014,"Females","50-64","3","Other",46.2024396721934
"E12000001",2014,"Females","50-64","4","Other",50.4703881816227
"E12000001",2014,"Females","50-64","5","Other",76.4895582124006
"E12000001",2014,"Females","50-64","1","White",78408.4421355154
"E12000001",2014,"Females","50-64","2","White",57625.0815835873
"E12000001",2014,"Females","50-64","3","White",41069.5315072594
"E12000001",2014,"Females","50-64","4","White",41586.6933566276
"E12000001",2014,"Females","50-64","5","White",40079.6426894579
"E12000001",2014,"Females","65-74","1","Asian",303.484361629723
"E12000001",2014,"Females","65-74","2","Asian",182.504876906121
"E12000001",2014,"Females","65-74","3","Asian",131.03905601881
"E12000001",2014,"Females","65-74","4","Asian",159.727418889135
"E12000001",2014,"Females","65-74","5","Asian",199.64480084841
"E12000001",2014,"Females","65-74","1","Black",35.3224786530267
"E12000001",2014,"Females","65-74","2","Black",16.9040245373027
"E12000001",2014,"Females","65-74","3","Black",11.477399914156
"E12000001",2014,"Females","65-74","4","Black",11.0700326070534
"E12000001",2014,"Females","65-74","5","Black",17.3028736699411
"E12000001",2014,"Females","65-74","1","Mixed",93.1816806717984
"E12000001",2014,"Females","65-74","2","Mixed",61.7576018321941
"E12000001",2014,"Females","65-74","3","Mixed",35.1111883131128
"E12000001",2014,"Females","65-74","4","Mixed",38.2870266850641
"E12000001",2014,"Females","65-74","5","Mixed",38.7226206520171
"E12000001",2014,"Females","65-74","1","Other",30.0002083643251
"E12000001",2014,"Females","65-74","2","Other",12.694596315187
"E12000001",2014,"Females","65-74","3","Other",13.647234363215
"E12000001",2014,"Females","65-74","4","Other",12.76397879379
"E12000001",2014,"Females","65-74","5","Other",15.3296695399755
"E12000001",2014,"Females","65-74","1","White",38574.0112706813
